symbol,anchor,target_mode,n,wr,avg_r,total_r,max_dd_r
MES,0900,FAR,38,0.34210526315789475,-0.3503664381722363,-13.31392465054498,13.842335441606073
MES,0900,MID,38,0.4473684210526316,-0.1617830903528559,-6.1477574334085245,9.928208560607898
MES,0900,SPLIT70,38,0.3684210526315789,-0.21835809469867004,-8.297607598549462,10.80244662490735
MES,0900,SPLIT70_BE,38,0.39473684210526316,-0.19889987426305056,-7.558195221995922,10.730872141756713
MGC,0900,FAR,50,0.38,0.004241299749676131,0.21206498748380653,9.360084670538054
MGC,0900,MID,50,0.32,-0.24816422153429357,-12.408211076714679,13.267436521295322
MGC,0900,SPLIT70,50,0.34,-0.1724425651491026,-8.622128257455131,10.13578425929343
MGC,0900,SPLIT70_BE,50,0.34,-0.1812697289353763,-9.063486446768815,10.639959912151813
MNQ,0900,FAR,8,0.5,-0.14532207159814114,-1.1625765727851292,3.0
MNQ,0900,MID,8,0.125,-0.3442468044720551,-2.7539744357764406,2.718969705407474
MNQ,0900,SPLIT70,8,0.25,-0.28456938460988085,-2.276555076879047,2.4827991639178215
MNQ,0900,SPLIT70_BE,8,0.125,-0.3280330053493101,-2.624264042794481,2.560877098612839
MES,1000,FAR,59,0.3220338983050847,-0.20386350040617454,-12.027946523964298,18.50275615753079
MES,1000,MID,59,0.423728813559322,0.027588379809425592,1.62771440875611,9.671509626364656
MES,1000,SPLIT70,59,0.4576271186440678,-0.041847184255254445,-2.4689838710600123,10.213175422253874
MES,1000,SPLIT70_BE,59,0.3898305084745763,-0.01468326121479578,-0.866312411672951,9.459732868480899
MGC,1000,FAR,61,0.36065573770491804,0.039063463852835295,2.382871295022953,5.173476566800365
MGC,1000,MID,61,0.39344262295081966,-0.18995809938949343,-11.587444062759099,12.83320079214106
MGC,1000,SPLIT70,61,0.36065573770491804,-0.12125163041679485,-7.3963494554244855,9.635977799584388
MGC,1000,SPLIT70_BE,61,0.3770491803278688,-0.16047738451888735,-9.789120455652128,11.846316367379565
MNQ,1000,FAR,4,0.5,0.058914131690346205,0.23565652676138482,1.0
MNQ,1000,MID,4,0.75,0.031404200448524794,0.12561680179409918,0.0
MNQ,1000,SPLIT70,4,0.75,0.03965717982107117,0.15862871928428468,0.0
MNQ,1000,SPLIT70_BE,4,0.75,0.014676306177934004,0.05870522471173602,0.0
MES,1100,FAR,50,0.44,-0.004484224799234651,-0.22421123996173253,6.0
MES,1100,MID,50,0.38,-0.18584498814384479,-9.292249407192239,9.273594130390643
MES,1100,SPLIT70,50,0.32,-0.1314367591404617,-6.571837957023085,6.320636732877059
MES,1100,SPLIT70_BE,50,0.38,-0.1533962647988393,-7.669813239941965,7.459380227970504
MGC,1100,FAR,98,0.37755102040816324,-0.13522422484100005,-13.251974034418005,16.061470231152523
MGC,1100,MID,98,0.32653061224489793,-0.24976394387716117,-24.476866499961794,25.09417821104661
MGC,1100,SPLIT70,98,0.3877551020408163,-0.21540202816631285,-21.10939876029866,22.384365817078393
MGC,1100,SPLIT70_BE,98,0.3163265306122449,-0.24544569742186345,-24.05367834734262,25.16291390200737
MNQ,1100,FAR,6,0.3333333333333333,-0.2767029943980155,-1.660217966388093,3.0
MNQ,1100,MID,6,0.16666666666666666,-0.34968222282472156,-2.0980933369483292,2.216008079787864
MNQ,1100,SPLIT70,6,0.16666666666666666,-0.3277884542967097,-1.9667307257802582,2.4512056558515045
MNQ,1100,SPLIT70_BE,6,0.16666666666666666,-0.2449542626860722,-1.4697255761164332,2.166771872238325
