overlay,strategies,improved_count,strong_count,avg_delta,median_retain,avg_test_delta,improve_ratio
OV_f_fast15,3,3,2,0.026040518286624067,0.8650602409638555,0.023898559810412157,1.0
OV_l_cont,1,1,0,0.004175971975192164,0.9385542168674699,0.06673086013093424,1.0
OV_f_fast30,2,2,0,0.004075795633956495,0.9411168483457639,0.014354602580291562,1.0
OV_f_fast30_size60,6,5,3,0.035669432949044365,0.38957776199231153,-0.0669174756647556,0.8333333333333334
OV_f_vol60,6,4,4,0.08339535186219175,0.4002288329519451,0.11578298951273669,0.6666666666666666
OV_f_size60,6,4,3,0.026192120114762064,0.4,-0.05299350265949043,0.6666666666666666
OV_l_size60,5,3,2,0.03335739762618718,0.4,-0.0464419686474292,0.6
OV_f_cont_fast30,2,1,0,0.005718690699904938,0.9255115700898833,0.009111603947757289,0.5
OV_l_cont_fast30,2,1,0,0.0006495434022259494,0.9217377574815391,0.01557720466431027,0.5
OV_l_fast30,1,0,0,-0.002813185310812698,0.9395161290322581,-0.006384157509157523,0.0
