strategy_id,strategy,preset,n,signals_per_year,wr,avg_r,delta_avg_vs_base,delta_test2025_vs_base
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,base,386,64.33333333333333,0.3471502590673575,0.27670673575129534,0.0,0.0
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,base_plus_fast15,340,56.666666666666664,0.3588235294117647,0.31906,0.04235326424870467,0.0028054675716440436
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,base_plus_vol60,155,25.833333333333332,0.4064516129032258,0.49530774193548377,0.21860100618418843,0.25727227997228
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,base_plus_both,142,23.666666666666668,0.4225352112676056,0.5542380281690141,0.2775312924177188,0.33705282051282054
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base,493,82.16666666666667,0.47058823529411764,0.08136166328600404,0.0,0.0
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_fast15,477,79.5,0.46540880503144655,0.06915492662473793,-0.012206736661266107,-0.00769832444782953
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_vol60,197,32.833333333333336,0.45685279187817257,0.048492893401015216,-0.032868769884988824,0.08604989604989605
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_both,193,32.166666666666664,0.45595854922279794,0.04601709844559585,-0.03534456484040819,0.057724145299145324
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,base,630,105.0,0.5174603174603175,0.04090269841269841,0.0,0.0
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,base_plus_fast15,537,89.5,0.5344506517690876,0.061593854748603336,0.020691156335904924,0.04268304105848996
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,base_plus_vol60,252,42.0,0.5793650793650794,0.13744920634920635,0.09654650793650793,0.12615607476635513
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,base_plus_both,219,36.5,0.5981735159817352,0.16025022831050229,0.11934752989780387,0.14988419976635514
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base,496,82.66666666666667,0.45161290322580644,0.034531854838709665,0.0,0.0
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_fast15,472,78.66666666666667,0.4470338983050847,0.023147881355932196,-0.01138397348277747,0.00429675382089173
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_vol60,199,33.166666666666664,0.45226130653266333,0.03402864321608039,-0.0005032116226292779,0.04151619263089851
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_both,197,32.833333333333336,0.45685279187817257,0.044526395939086284,0.00999454110037662,0.04151619263089851
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,base,830,138.33333333333334,0.37710843373493974,0.028291807228915666,0.0,0.0
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,base_plus_fast15,718,119.66666666666667,0.38440111420612816,0.04336894150417828,0.01507713427526261,0.026207170801102464
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,base_plus_vol60,332,55.333333333333336,0.43373493975903615,0.16950843373493976,0.1412166265060241,0.09548505209854899
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,base_plus_both,307,51.166666666666664,0.43973941368078173,0.18323713355048857,0.1549453263215729,0.09424120289219981
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,base,1311,187.28571428571428,0.3707093821510298,0.0111419527078566,0.0,0.0
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,base_plus_fast15,1311,187.28571428571428,0.3707093821510298,0.0111419527078566,0.0,0.0
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,base_plus_vol60,525,75.0,0.40190476190476193,0.08852190476190477,0.07737995205404817,0.0882184415584415
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,base_plus_both,525,75.0,0.40190476190476193,0.08852190476190477,0.07737995205404817,0.0882184415584415
