orb_label,n,n_on,avg_on,avg_off,uplift
0030,186767.0,182671.0,-0.17425771852127597,-0.434772412109375,0.26051469358809903
1800,126054.0,120901.0,-0.26713811465579274,-0.44733033184552695,0.18019221718973422
US_POST_EQUITY,233081.0,227636.0,-0.1725881719060254,-0.31928611570247933,0.14669794379645393
2300,65953.0,64816.0,-0.23307231239200196,-0.3782263852242744,0.1451540728322724
0900,209612.0,185112.0,-0.269751523942262,-0.37120673061224485,0.10145520666998287
US_EQUITY_OPEN,177532.0,173835.0,-0.16507765467253432,-0.253309277792805,0.08823162312027066
US_DATA_OPEN,167513.0,155648.0,-0.21579858719675168,-0.2913793341761483,0.07558074697939662
1100,277436.0,254651.0,-0.24804457001935987,-0.3134339082729866,0.06538933825362675
LONDON_OPEN,277582.0,267243.0,-0.18952414656324018,-0.24390217622594063,0.054378029662700444
1000,259634.0,235405.0,-0.21981087572481464,-0.23651477980931937,0.016703904084504728
CME_OPEN,94124.0,84735.0,-0.2890936319112527,-0.26423025881350515,-0.024863373097747554
CME_CLOSE,65421.0,65159.0,-0.2976125938089903,-0.20703587786259545,-0.09057671594639485
